gene_id,SRR3033249,SRR3033250,SRR3033251,SRR3033252,SRR3033253,SRR3033254,SRR3033255,SRR3033256,SRR3033257,SRR3033258,SRR3033259,SRR3033260,SRR3033261,SRR3033262,SRR3033263,SRR3033264,SRR3033265,SRR3033266,SRR3033267,SRR3033268,SRR3033269,SRR3033270,SRR3033271,SRR3033272,SRR3033273
LOC552554,9.86,17.12,29.14,9.94,11.61,14.77,7.40,8.51,10.98,12.32,14.58,13.09,13.44,19.40,20.45,17.25,14.23,20.75,20.40,27.92,27.40,19.37,14.36,11.28,13.30
LOC102653843,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC102653841,1.12,2.00,2.40,0.98,0.84,0.44,0.67,0.89,1.10,1.54,0.65,0.79,0.81,1.35,2.21,1.44,0.87,0.52,0.53,0.70,0.46,0.79,0.89,0.78,0.67
LOC102653840,0.31,0.16,0.33,0.65,0.42,0.20,0.17,0.23,0.17,0.66,0.21,0.33,0.49,0.62,0.47,0.50,0.25,0.21,0.46,0.41,0.50,0.48,0.49,0.23,0.54
LOC102653847,0.18,1.11,0.77,2.10,3.45,1.47,2.02,0.18,2.18,3.37,2.98,2.56,4.19,0.36,0.47,0.79,0.50,0.57,0.76,1.41,0.42,0.30,2.43,1.31,3.00
LOC102653846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00
Mir12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOC102653844,0.16,0.64,3.63,0.95,1.21,0.91,0.62,0.48,1.11,1.80,1.12,0.60,0.66,2.55,0.38,0.92,1.36,0.21,0.68,1.26,2.72,1.48,0.83,1.26,0.56
LOC412934,0.91,0.91,1.48,0.84,0.94,0.90,0.40,0.25,0.51,1.40,0.54,0.28,0.62,0.90,0.53,1.12,0.82,0.69,0.53,0.24,0.26,0.29,0.46,0.46,0.63
LOC412935,30.20,43.37,75.67,25.73,27.90,35.72,17.99,21.32,16.21,34.93,33.30,23.45,18.97,47.50,26.53,45.16,32.11,34.57,42.76,59.52,76.58,51.06,28.85,23.19,27.96
